,Date
1201,2021-01-25
1202,2021-01-25
1203,2021-01-25
1204,2021-01-25
1205,2021-01-25
1206,2021-01-25
1207,2021-01-25
1208,2021-01-25
1209,2021-01-25
1210,2021-01-25
1211,2021-01-25
1212,2021-01-25
1213,2021-01-25
1214,2021-01-25
1215,2021-01-25
1216,2021-01-25
1217,2021-01-25
1218,2021-01-25
1219,2021-01-25
1220,2021-01-25
1221,2021-01-25
1222,2021-01-25
1223,2021-01-25
1224,2021-01-25
1225,2021-01-25
1226,2021-01-25
1227,2021-01-25
1228,2021-01-25
1229,2021-01-25
1230,2021-01-25
1231,2021-01-25
1232,2021-01-25
1233,2021-01-25
1234,2021-01-25
1235,2021-01-25
1236,2021-01-25
1237,2021-01-25
1238,2021-01-25
1239,2021-01-25
1240,2021-01-25
1241,2021-01-25
1242,2021-01-25
1243,2021-01-25
1244,2021-01-25
1245,2021-01-25
1246,2021-01-25
1247,2021-01-25
1248,2021-01-25
1249,2021-01-25
1250,2021-01-25
1251,2021-01-25
1252,2021-01-25
1253,2021-01-25
1254,2021-01-25
1255,2021-01-25
1256,2021-01-25
1257,2021-01-25
1258,2021-01-25
1259,2021-01-25
1260,2021-01-25
1261,2021-01-25
1262,2021-01-25
1263,2021-01-25
1264,2021-01-25
1265,2021-01-25
1266,2021-01-25
1267,2021-01-26
1268,2021-01-25
1269,2021-01-25
1270,2021-01-25
1271,2021-01-25
1272,2021-01-25
1273,2021-01-25
1274,2021-01-25
1275,2021-01-25
1276,2021-01-25
1277,2021-01-25
1278,2021-01-25
1279,2021-01-25
1280,2021-01-25
1281,2021-01-25
1282,2021-01-25
1283,2021-01-25
1284,2021-01-25
1285,2021-01-25
1286,2021-01-25
1287,2021-01-25
1288,2021-01-25
1289,2021-01-25
1290,2021-01-25
1291,2021-01-25
1292,2021-01-25
1293,2021-01-25
1294,2021-01-25
1295,2021-01-25
1296,2021-01-25
1297,2021-01-24
1298,2021-01-24
1299,2021-01-24
1300,2021-01-24
1301,2021-01-24
1302,2021-01-24
1303,2021-01-24
1304,2021-01-24
1305,2021-01-24
1306,2021-01-24
1307,2021-01-24
1308,2021-01-24
1309,2021-01-24
1310,2021-01-24
1311,2021-01-24
1312,2021-01-24
1313,2021-01-24
1314,2021-01-24
1315,2021-01-24
1316,2021-01-24
1317,2021-01-24
1318,2021-01-24
1319,2021-01-24
1320,2021-01-24
1321,2021-01-24
1322,2021-01-24
1323,2021-01-24
1324,2021-01-24
1325,2021-01-24
1326,2021-01-24
1327,2021-01-24
1328,2021-01-24
1329,2021-01-24
1330,2021-01-24
1331,2021-01-24
